Title,Type,Timestamp,Account Currency,Total Amount,Buy / Sell,Ticker,ISIN,Price per Share in Account Currency,Stamp Duty,Quantity,Venue,Order ID,Order Type,Instrument Currency,Total Shares Amount,Price per Share,FX Rate,Base FX Rate,FX Fee (BPS),FX Fee Amount,Dividend Ex Date,Dividend Pay Date,Dividend Eligible Quantity,Dividend Amount Per Share,Dividend Gross Distribution Amount,Dividend Net Distribution Amount,Dividend Withheld Tax Percentage,Dividend Withheld Tax Amount
Harmony Energy,DIVIDEND,2023-06-16T15:53:00.000Z,GBP,0.44,,HEIT,GB00BLNNFY18,,,44.00000000,,,,GBP,,,,,,,2023-06-01,2023-06-16,44.00000000,0.01000000,,,0,0.00
Haleon,ORDER,2023-06-15T12:30:46.480Z,GBP,48.64,BUY,HLN,GB00BMX86B70,3.22666667,0.24,15.00000000,London Stock Exchange,CVAG6CIR315X,MARKET,GBP,48.40,3.22666667,,,0,,,,,,,,,
Midwich,ORDER,2023-06-15T12:29:38.755Z,GBP,46.93,BUY,MIDW,GB00BYSXWW41,4.69300000,0.00,10.00000000,London Stock Exchange - Aim MTF,LIR83BTYXXF3,MARKET,GBP,46.93,4.69300000,,,0,,,,,,,,,
Greencore,ORDER,2023-06-15T12:29:04.326Z,GBP,49.48,BUY,GNC,IE0003864109,0.74227273,0.49,66.00000000,London Stock Exchange,KTH1RUJII1AN,MARKET,GBP,48.99,0.74227273,,,0,,,,,,,,,
Adobe,ORDER,2023-06-12T18:59:12.506Z,GBP,50.56,SELL,ADBE,US00724F1012,380.10279820,0.00,0.13435839,Drivewealth,AVG40816GHHA,MARKET,USD,63.86,475.31000000,1.26294054,1.25056000,99,0.51,,,,,,,,
Diploma,DIVIDEND,2023-06-09T00:54:00.000Z,GBP,0.33,,DPLM,GB0001826634,,,2.00000000,,,,GBP,,,,,,,2023-05-25,2023-06-09,2.00000000,0.16500000,,,0,0.00
Advanced Medical Solutions,DIVIDEND,2023-06-09T00:13:00.000Z,GBP,0.30,,AMS,GB0004536594,,,20.00000000,,,,GBP,,,,,,,2023-05-18,2023-06-09,20.00000000,0.01510000,,,0,0.00
Derwent London,ORDER,2023-06-07T07:35:16.443Z,GBP,66.81,BUY,DLN,GB0002652740,22.16000000,0.33,3.00000000,London Stock Exchange,CYQUX6HPB1PB,MARKET,GBP,66.48,22.16000000,,,0,,,,,,,,,
Legal & General,DIVIDEND,2023-06-05T17:53:00.000Z,GBP,3.34,,LGEN,GB0005603997,,,24.00000000,,,,GBP,,,,,,,2023-04-27,2023-06-05,24.00000000,0.13930000,,,0,0.00
Fever Tree,DIVIDEND,2023-06-02T15:47:00.000Z,GBP,0.32,,FEVR,GB00BRJ9BJ26,,,3.00000000,,,,GBP,,,,,,,2023-04-20,2023-06-02,3.00000000,0.10680000,,,0,0.00
Glencore,CAPITAL,2023-06-01T20:35:00.000Z,GBP,1.76,,GLEN,JE00B4T3BW64,,,10.00000000,,,,GBP,,,,,,,2023-05-04,2023-06-01,10.00000000,0.17640920,,,0,0.00
May Statement,MONTHLY_STATEMENT,2023-06-01T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,
